Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\FilamentTracker.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.2,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\FilamentTracker.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\FilamentTracker.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\Program.cs,122,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\Program.cs,22,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,options.ClientTimeoutInterval   = TimeSpan.FromSeconds(60);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\Program.cs,21,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,options.KeepAliveInterval       = TimeSpan.FromSeconds(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FilamentTracker\FilamentTracker.csproj,File,FilamentTracker\Program.cs,12,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.DisconnectedCircuitRetentionPeriod = TimeSpan.FromMinutes(60);
